herb_id,herb_name_sinhala,herb_name_english,herb_name_latin,family,synonyms,treatment_for,parts_used_in_treatment,description,dosage,contraindications,compounds,native_distribution,conservation_status,edible_parts,medical_properties,source,source_type
SLH-0453,Badumala,lowland nightflower,Vireophyllum rotundifolia var. minor,Rubiaceae,Badumala kola; lowland nightflower,memory improvement; muscle pain; gastritis,flowers; gum,"lowland nightflower (Vireophyllum rotundifolia var. minor), known in Sinhala as Badumala, is a medicinal plant of the family Rubiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for memory improvement, muscle pain, gastritis. The flowers are the most commonly used part, usually prepared as a fresh juice. Reported properties include anthelmintic, demulcent activity.",Fresh juice of flowers: 15-30 ml daily on an empty stomach. ,Avoid during pregnancy unless advised by a qualified practitioner,tannins; polysaccharides; terpenoids; quercetin; lupeol,Dry zone,Near Threatened,seeds (after processing),anthelmintic; demulcent; antioxidant,Medicinal Plants Reference Database ,database
SLH-0454,Muraliya,lowland betony,Ayurvedia montana var. montana,Poaceae,Muraliya kola; lowland betony,skin diseases; haemorrhoids; anxiety; urinary stones,rhizome; leaves,"lowland betony (Ayurvedia montana var. montana), known in Sinhala as Muraliya, is a medicinal plant of the family Poaceae recorded in Sri Lankan traditional medicine. It is traditionally used for skin diseases, haemorrhoids, anxiety, urinary stones. The rhizome are the most commonly used part, usually prepared as a oil preparation. Reported properties include laxative, astringent activity.",Oil preparation of rhizome for external application. ,May enhance the effect of antidiabetic medication; monitor blood sugar; May cause allergic skin reaction in sensitive individuals; May cause gastric irritation in high doses,sterols; anthraquinones; beta-sitosterol; ursolic acid,Dry zone,Data Deficient,tender shoots,laxative; astringent; immunomodulatory,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0455,Timukola,monsoon tonic-vine,Vireophyllum umbrosa var. montana,Moraceae,Timukola kola; monsoon tonic-vine,arthritis; ringworm; rheumatism,bark,"monsoon tonic-vine (Vireophyllum umbrosa var. montana), known in Sinhala as Timukola, is a medicinal plant of the family Moraceae recorded in Sri Lankan traditional medicine. It is traditionally used for arthritis, ringworm, rheumatism. The bark are the most commonly used part, usually prepared as a fresh juice. Reported properties include astringent, antitussive activity.",Fresh juice of bark: 10-15 ml daily on an empty stomach. ,May enhance the effect of antidiabetic medication; monitor blood sugar; May cause gastric irritation in high doses; Prolonged high-dose use may cause loose stools,coumarins; anthraquinones; sterols; lupeol,Southern lowlands,Vulnerable,none recorded,astringent; antitussive; antispasmodic; anti-inflammatory,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0456,Henigoda,mountain spurge,Petalodendron cordata var. minor,Poaceae,Henigoda kola; mountain spurge,dysentery; intestinal worms; lactation support; jaundice,roots; latex; gum,"mountain spurge (Petalodendron cordata var. minor), known in Sinhala as Henigoda, is a medicinal plant of the family Poaceae recorded in Sri Lankan traditional medicine. It is traditionally used for dysentery, intestinal worms, lactation support, jaundice. The roots are the most commonly used part, usually prepared as a oil preparation. Reported properties include hypotensive, expectorant activity.",Oil preparation of roots for external application. ,Avoid during pregnancy unless advised by a qualified practitioner; Not recommended for children under 5 years,terpenoids; sterols; tannins; lupeol,Dry zone,Common (cultivated),none recorded,hypotensive; expectorant; hepatoprotective; wound-healing,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0457,Wasabatu,village bitterleaf,Monsoonia cordata var. major,Malvaceae,,eczema; migraine,tubers,"village bitterleaf (Monsoonia cordata var. major), known in Sinhala as Wasabatu, is a medicinal plant of the family Malvaceae recorded in Sri Lankan traditional medicine. It is traditionally used for eczema, migraine. The tubers are the most commonly used part, usually prepared as a capsule. Reported properties include laxative, galactagogue activity.",Standardised extract capsule: 250 mg twice daily. ,Avoid during pregnancy unless advised by a qualified practitioner; Prolonged high-dose use may cause loose stools,tannins; essential oils; luteolin; kaempferol,Island-wide,Near Threatened,tender shoots,laxative; galactagogue,Ethnobotanical Research Archive ,research_paper
SLH-0458,Hewikanda,Lanka bitterleaf,Zeylandra viridis var. minor,Apocynaceae,,rheumatism; constipation; ringworm; skin diseases,stem; bark,"Lanka bitterleaf (Zeylandra viridis var. minor), known in Sinhala as Hewikanda, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for rheumatism, constipation, ringworm, skin diseases. The stem are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include nervine tonic, antifungal activity.","Herbal porridge (kola kanda) prepared with fresh stem, consumed as breakfast 2-3 times weekly. ",Avoid during pregnancy unless advised by a qualified practitioner; May cause allergic skin reaction in sensitive individuals; May cause gastric irritation in high doses,saponins; sterols; quercetin,Sabaragamuwa region,Vulnerable,tender shoots,nervine tonic; antifungal; galactagogue; laxative,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0459,Sawigala,sacred creeper,Ophiranthus paniculata subsp. lankana,Cucurbitaceae,Sawigala kola; sacred creeper,oral health; migraine; wound healing,whole plant; seeds; roots,"sacred creeper (Ophiranthus paniculata subsp. lankana), known in Sinhala as Sawigala, is a medicinal plant of the family Cucurbitaceae recorded in Sri Lankan traditional medicine. It is traditionally used for oral health, migraine, wound healing. The whole plant are the most commonly used part, usually prepared as a herbal tea. Reported properties include diuretic, antitussive activity.","Herbal tea: steep 1 tsp of dried whole plant in hot water, drink twice daily. ",May enhance the effect of antidiabetic medication; monitor blood sugar; May interact with antihypertensive medication,anthraquinones; tannins; lupeol; luteolin,Sinharaja periphery,Data Deficient,young leaves,diuretic; antitussive,Medicinal Plants Reference Database ,database
SLH-0460,Latuwila,forest healwort,Zeylandra glabra var. littoralis,Melastomataceae,Latuwila kola; forest healwort,diarrhoea; memory improvement; dysentery; skin diseases,tender shoots,"forest healwort (Zeylandra glabra var. littoralis), known in Sinhala as Latuwila, is a medicinal plant of the family Melastomataceae recorded in Sri Lankan traditional medicine. It is traditionally used for diarrhoea, memory improvement, dysentery, skin diseases. The tender shoots are the most commonly used part, usually prepared as a fresh juice. Reported properties include anthelmintic, carminative activity.",Fresh juice of tender shoots: 15-30 ml daily on an empty stomach. ,Avoid immediately before surgery; May enhance the effect of antidiabetic medication; monitor blood sugar,saponins; glycosides; catechin; gallic acid,Intermediate zone,Least Concern,seeds (after processing),anthelmintic; carminative,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0461,Habugaha,highland bitterleaf,Insularia spinosa var. littoralis,Apocynaceae,,loss of appetite; high cholesterol; epilepsy support; fever,fruits; gum,"highland bitterleaf (Insularia spinosa var. littoralis), known in Sinhala as Habugaha, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for loss of appetite, high cholesterol, epilepsy support, fever. The fruits are the most commonly used part, usually prepared as a cold infusion. Reported properties include anthelmintic, expectorant activity.",Cold infusion of fruits soaked overnight: 100 ml in the morning. ,Use with caution in liver disease; Not recommended for children under 5 years; Avoid immediately before surgery,glycosides; polysaccharides; apigenin,Intermediate zone,Data Deficient,none recorded,anthelmintic; expectorant; wound-healing; galactagogue,Medicinal Plants Reference Database ,database
SLH-0462,Rarakola,highland nightflower,Zeylandra dulcis var. minor,Euphorbiaceae,Rarakola kola; highland nightflower,skin diseases; lactation support; toothache,latex,"highland nightflower (Zeylandra dulcis var. minor), known in Sinhala as Rarakola, is a medicinal plant of the family Euphorbiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for skin diseases, lactation support, toothache. The latex are the most commonly used part, usually prepared as a powder. Reported properties include wound-healing, immunomodulatory activity.","Dried latex powder: 2-3 g with warm water, once daily. ",Use with caution in liver disease,lignans; anthraquinones; catechin,Coastal areas,Least Concern,none recorded,wound-healing; immunomodulatory; antitussive,Ethnobotanical Research Archive ,research_paper
SLH-0463,Luriweli,lowland balmwort,Viridilanka dulcis var. major,Malvaceae,Luriweli kola; lowland balmwort,hair care; oral health,bark; leaves,"lowland balmwort (Viridilanka dulcis var. major), known in Sinhala as Luriweli, is a medicinal plant of the family Malvaceae recorded in Sri Lankan traditional medicine. It is traditionally used for hair care, oral health. The bark are the most commonly used part, usually prepared as a paste. Reported properties include diuretic, antibacterial activity.",External use only: apply paste of bark to the affected area 1-2 times daily. ,Avoid with anticoagulant medication; Avoid immediately before surgery; Use with caution while breastfeeding,flavonoids; saponins; iridoids; apigenin,Dry zone,Near Threatened,none recorded,diuretic; antibacterial; antidiabetic; antipyretic,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0464,Nibawala,wild betony,Monsoonia aquatica var. littoralis,Apocynaceae,,immunity support; wound healing; eczema; menstrual disorders,leaves; flowers,"wild betony (Monsoonia aquatica var. littoralis), known in Sinhala as Nibawala, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for immunity support, wound healing, eczema, menstrual disorders. The leaves are the most commonly used part, usually prepared as a capsule. Reported properties include diuretic, wound-healing activity.",Standardised extract capsule: 500 mg once daily. ,Not recommended for children under 5 years; May interact with antihypertensive medication,coumarins; sterols; lignans; luteolin; gallic acid,Home gardens island-wide,Least Concern,fruits,diuretic; wound-healing; nervine tonic; analgesic,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0465,Suraliya,island balmwort,Viridilanka tomentosa var. insularis,Lamiaceae,,ringworm; loss of appetite; sinusitis,fruits; latex,"island balmwort (Viridilanka tomentosa var. insularis), known in Sinhala as Suraliya, is a medicinal plant of the family Lamiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for ringworm, loss of appetite, sinusitis. The fruits are the most commonly used part, usually prepared as a cold infusion. Reported properties include antidiabetic, antifungal activity.",Cold infusion of fruits soaked overnight: 50 ml in the morning. ,Avoid with anticoagulant medication; Use with caution while breastfeeding; Use with caution in chronic kidney disease,saponins; terpenoids; ellagic acid; stigmasterol,Central highlands,Common (cultivated),young leaves,antidiabetic; antifungal,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0466,Luniriya,forest sorrel,Pseudomedix hirsuta var. montana,Rutaceae,,diarrhoea; muscle pain,fruits; bark,"forest sorrel (Pseudomedix hirsuta var. montana), known in Sinhala as Luniriya, is a medicinal plant of the family Rutaceae recorded in Sri Lankan traditional medicine. It is traditionally used for diarrhoea, muscle pain. The fruits are the most commonly used part, usually prepared as a paste. Reported properties include astringent, laxative activity.",External use only: apply paste of fruits to the affected area 1-2 times daily. ,Avoid during pregnancy unless advised by a qualified practitioner; May cause gastric irritation in high doses,phenolic acids; essential oils; lignans; quercetin; stigmasterol,Home gardens island-wide,Vulnerable,seeds (after processing),astringent; laxative; immunomodulatory,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0467,Kahakanda,lowland tonic-vine,Vireophyllum sylvestris var. littoralis,Cucurbitaceae,,intestinal worms; joint pain,fruits; rhizome,"lowland tonic-vine (Vireophyllum sylvestris var. littoralis), known in Sinhala as Kahakanda, is a medicinal plant of the family Cucurbitaceae recorded in Sri Lankan traditional medicine. It is traditionally used for intestinal worms, joint pain. The fruits are the most commonly used part, usually prepared as a cold infusion. Reported properties include antidiabetic, galactagogue activity.",Cold infusion of fruits soaked overnight: 100 ml in the morning. ,Avoid with anticoagulant medication; Prolonged high-dose use may cause loose stools; Avoid immediately before surgery,alkaloids; lignans; saponins; ellagic acid,Central highlands,Vulnerable,none recorded,antidiabetic; galactagogue; anthelmintic; immunomodulatory,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0468,Webagoda,village healwort,Lankandra aquatica,Rutaceae,,jaundice; arthritis; flatulence; diabetes,bark; gum,"village healwort (Lankandra aquatica), known in Sinhala as Webagoda, is a medicinal plant of the family Rutaceae recorded in Sri Lankan traditional medicine. It is traditionally used for jaundice, arthritis, flatulence, diabetes. The bark are the most commonly used part, usually prepared as a herbal tea. Reported properties include antispasmodic, antipyretic activity.","Herbal tea: steep 2 tsp of dried bark in hot water, drink once daily. ",Use with caution in liver disease,essential oils; saponins; coumarins; oleanolic acid,Intermediate zone,Least Concern,leaves (as mallum),antispasmodic; antipyretic; antitussive,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0469,Bohaliya,coastal spurge,Tropicophyton pallida var. insularis,Acanthaceae,Bohaliya kola; coastal spurge,rheumatism; indigestion; jaundice,stem; latex,"coastal spurge (Tropicophyton pallida var. insularis), known in Sinhala as Bohaliya, is a medicinal plant of the family Acanthaceae recorded in Sri Lankan traditional medicine. It is traditionally used for rheumatism, indigestion, jaundice. The stem are the most commonly used part, usually prepared as a paste. Reported properties include galactagogue, anti-inflammatory activity.",External use only: apply paste of stem to the affected area 1-2 times daily. ,Avoid during pregnancy unless advised by a qualified practitioner; Not recommended for children under 5 years,polysaccharides; phenolic acids; lupeol; stigmasterol,Wet zone lowlands,Common (cultivated),leaves (as mallum),galactagogue; anti-inflammatory; antipyretic,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0470,Lugumula,village milkweed,Ophiranthus rotundifolia var. minor,Lamiaceae,Lugumula kola; village milkweed,sore throat; stress; lactation support; diabetes,bark; rhizome; roots,"village milkweed (Ophiranthus rotundifolia var. minor), known in Sinhala as Lugumula, is a medicinal plant of the family Lamiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for sore throat, stress, lactation support, diabetes. The bark are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include nervine tonic, antidiabetic activity.","Herbal porridge (kola kanda) prepared with fresh bark, consumed as breakfast 2-3 times weekly. ",May cause allergic skin reaction in sensitive individuals,lignans; terpenoids; sterols; chlorogenic acid; catechin,Uva region,Common (cultivated),none recorded,nervine tonic; antidiabetic; antibacterial; demulcent,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0471,Kadahira,sacred pepperbush,Ophiranthus zeylanica var. montana,Fabaceae,Kadahira kola; sacred pepperbush,indigestion; intestinal worms,bark; flowers,"sacred pepperbush (Ophiranthus zeylanica var. montana), known in Sinhala as Kadahira, is a medicinal plant of the family Fabaceae recorded in Sri Lankan traditional medicine. It is traditionally used for indigestion, intestinal worms. The bark are the most commonly used part, usually prepared as a powder. Reported properties include demulcent, laxative activity.","Dried bark powder: 3-5 g with warm water, once daily. ",May enhance the effect of antidiabetic medication; monitor blood sugar; May interact with antihypertensive medication; Avoid immediately before surgery,iridoids; essential oils; chlorogenic acid; catechin,Home gardens island-wide,Least Concern,fruits,demulcent; laxative; hypotensive; immunomodulatory,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0472,Ditakanda,lowland nightflower,Ophiranthus aromatica var. insularis,Apocynaceae,,cough; hypertension; arthritis,seeds,"lowland nightflower (Ophiranthus aromatica var. insularis), known in Sinhala as Ditakanda, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cough, hypertension, arthritis. The seeds are the most commonly used part, usually prepared as a decoction. Reported properties include antidiabetic, expectorant activity.","Decoction of seeds: 120 ml, once daily after meals. ",Prolonged high-dose use may cause loose stools; Use with caution while breastfeeding,sterols; phenolic acids; saponins; stigmasterol,Intermediate zone,Near Threatened,young leaves,antidiabetic; expectorant; antioxidant,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0473,Kowiuda,river spurge,Tropicophyton umbrosa var. minor,Apocynaceae,,immunity support; migraine,whole plant; flowers,"river spurge (Tropicophyton umbrosa var. minor), known in Sinhala as Kowiuda, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for immunity support, migraine. The whole plant are the most commonly used part, usually prepared as a cold infusion. Reported properties include immunomodulatory, anti-inflammatory activity.",Cold infusion of whole plant soaked overnight: 100 ml in the morning. ,Use with caution in liver disease,phenolic acids; iridoids; lupeol; vanillic acid,Central highlands,Least Concern,fruits,immunomodulatory; anti-inflammatory,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0474,Dasagoda,coastal healwort,Xanthozeylania zeylanica var. minor,Rubiaceae,Dasagoda kola; coastal healwort,nausea; constipation,tubers,"coastal healwort (Xanthozeylania zeylanica var. minor), known in Sinhala as Dasagoda, is a medicinal plant of the family Rubiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for nausea, constipation. The tubers are the most commonly used part, usually prepared as a decoction. Reported properties include anthelmintic, antipyretic activity.","Decoction of tubers: 40 ml, once daily after meals. ",May interact with antihypertensive medication; May cause allergic skin reaction in sensitive individuals; Use with caution in chronic kidney disease,anthraquinones; sterols; quercetin,Northern dry zone,Least Concern,leaves (as mallum),anthelmintic; antipyretic,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0475,Gosiriya,island bitterleaf,Tropicophyton aquatica subsp. lankana,Annonaceae,,loss of appetite; urinary tract infections,fruits; flowers; tubers,"island bitterleaf (Tropicophyton aquatica subsp. lankana), known in Sinhala as Gosiriya, is a medicinal plant of the family Annonaceae recorded in Sri Lankan traditional medicine. It is traditionally used for loss of appetite, urinary tract infections. The fruits are the most commonly used part, usually prepared as a oil preparation. Reported properties include anti-inflammatory, laxative activity.",Oil preparation of fruits for external application. ,Avoid during pregnancy unless advised by a qualified practitioner; Not recommended for children under 5 years,sterols; flavonoids; chlorogenic acid,Intermediate zone,Least Concern,none recorded,anti-inflammatory; laxative,Medicinal Plants Reference Database ,database
SLH-0476,Kamupala,Lanka figwort,Herbaphyton cordata,Melastomataceae,Kamupala kola; lanka figwort,nausea; anxiety; arthritis,tubers,"Lanka figwort (Herbaphyton cordata), known in Sinhala as Kamupala, is a medicinal plant of the family Melastomataceae recorded in Sri Lankan traditional medicine. It is traditionally used for nausea, anxiety, arthritis. The tubers are the most commonly used part, usually prepared as a decoction. Reported properties include wound-healing, diuretic activity.","Decoction of tubers: 40 ml, once daily after meals. ",Avoid immediately before surgery; Prolonged high-dose use may cause loose stools,polysaccharides; coumarins; glycosides; oleanolic acid,Knuckles range,Least Concern,young leaves,wound-healing; diuretic; antipyretic,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0477,Golugoda,highland nightflower,Ophiranthus fragrans,Rutaceae,Golugoda kola; highland nightflower,toothache; boils,fruits; gum,"highland nightflower (Ophiranthus fragrans), known in Sinhala as Golugoda, is a medicinal plant of the family Rutaceae recorded in Sri Lankan traditional medicine. It is traditionally used for toothache, boils. The fruits are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include antitussive, anthelmintic activity.","Herbal porridge (kola kanda) prepared with fresh fruits, consumed as breakfast 2-3 times weekly. ",Avoid during pregnancy unless advised by a qualified practitioner; May cause gastric irritation in high doses; Avoid immediately before surgery,phenolic acids; glycosides; polysaccharides; apigenin,Home gardens island-wide,Near Threatened,young leaves,antitussive; anthelmintic; diuretic; antipyretic,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0478,Hedaliya,forest ginger-lily,Ceylonia rotundifolia var. insularis,Apocynaceae,,chest congestion; inflammation; memory improvement; urinary tract infections,stem; whole plant,"forest ginger-lily (Ceylonia rotundifolia var. insularis), known in Sinhala as Hedaliya, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for chest congestion, inflammation, memory improvement, urinary tract infections. The stem are the most commonly used part, usually prepared as a paste. Reported properties include immunomodulatory, antifungal activity.",External use only: apply paste of stem to the affected area 1-2 times daily. ,Not recommended for children under 5 years; Avoid with anticoagulant medication,glycosides; tannins; terpenoids; stigmasterol; vanillic acid,Northern dry zone,Vulnerable,none recorded,immunomodulatory; antifungal; diuretic; nervine tonic,Ethnobotanical Research Archive ,research_paper
SLH-0479,Kimubatu,Lanka nightflower,Ceylonia latifolia var. major,Melastomataceae,Kimubatu kola; lanka nightflower,diabetes; stress,flowers; bark; fruits,"Lanka nightflower (Ceylonia latifolia var. major), known in Sinhala as Kimubatu, is a medicinal plant of the family Melastomataceae recorded in Sri Lankan traditional medicine. It is traditionally used for diabetes, stress. The flowers are the most commonly used part, usually prepared as a paste. Reported properties include antispasmodic, hypotensive activity.",External use only: apply paste of flowers to the affected area 1-2 times daily. ,May interact with antihypertensive medication; Avoid during pregnancy unless advised by a qualified practitioner; Avoid immediately before surgery,phenolic acids; coumarins; rutin,Intermediate zone,Least Concern,seeds (after processing),antispasmodic; hypotensive; antibacterial,Ethnobotanical Research Archive ,research_paper
SLH-0480,Lugudena,dry-zone balmwort,Petalodendron dulcis var. littoralis,Cucurbitaceae,,sinusitis; ringworm,latex,"dry-zone balmwort (Petalodendron dulcis var. littoralis), known in Sinhala as Lugudena, is a medicinal plant of the family Cucurbitaceae recorded in Sri Lankan traditional medicine. It is traditionally used for sinusitis, ringworm. The latex are the most commonly used part, usually prepared as a powder. Reported properties include antipyretic, hypotensive activity.","Dried latex powder: 1-2 g with warm water, twice daily. ",May cause gastric irritation in high doses; Avoid with anticoagulant medication; May cause allergic skin reaction in sensitive individuals,terpenoids; flavonoids; gallic acid; lupeol,Sinharaja periphery,Vulnerable,young leaves,antipyretic; hypotensive; galactagogue; antispasmodic,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0481,Mahiuda,river stoneroot,Herbaphyton lankensis subsp. lankana,Euphorbiaceae,,inflammation; obesity; menstrual disorders,seeds,"river stoneroot (Herbaphyton lankensis subsp. lankana), known in Sinhala as Mahiuda, is a medicinal plant of the family Euphorbiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for inflammation, obesity, menstrual disorders. The seeds are the most commonly used part, usually prepared as a fresh juice. Reported properties include antispasmodic, expectorant activity.",Fresh juice of seeds: 10-15 ml daily on an empty stomach. ,May enhance the effect of antidiabetic medication; monitor blood sugar; May cause gastric irritation in high doses,lignans; glycosides; beta-sitosterol,Central highlands,Data Deficient,seeds (after processing),antispasmodic; expectorant; antitussive; antidiabetic,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0482,Hasiwila,Lanka tonic-vine,Zeylandra zeylanica var. littoralis,Verbenaceae,,lactation support; wound healing,whole plant; stem; latex,"Lanka tonic-vine (Zeylandra zeylanica var. littoralis), known in Sinhala as Hasiwila, is a medicinal plant of the family Verbenaceae recorded in Sri Lankan traditional medicine. It is traditionally used for lactation support, wound healing. The whole plant are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include antifungal, hypotensive activity.","Herbal porridge (kola kanda) prepared with fresh whole plant, consumed as breakfast 2-3 times weekly. ",May cause gastric irritation in high doses,tannins; alkaloids; anthraquinones; chlorogenic acid; gallic acid,Intermediate zone,Data Deficient,none recorded,antifungal; hypotensive; galactagogue,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0483,Lakipala,coastal ginger-lily,Viridilanka aquatica,Malvaceae,,headache; oedema; hair care; joint pain,leaves; latex,"coastal ginger-lily (Viridilanka aquatica), known in Sinhala as Lakipala, is a medicinal plant of the family Malvaceae recorded in Sri Lankan traditional medicine. It is traditionally used for headache, oedema, hair care, joint pain. The leaves are the most commonly used part, usually prepared as a herbal tea. Reported properties include diuretic, nervine tonic activity.","Herbal tea: steep 2 tsp of dried leaves in hot water, drink twice daily. ",Avoid immediately before surgery,phenolic acids; polysaccharides; terpenoids; kaempferol; quercetin,Dry zone,Data Deficient,young leaves,diuretic; nervine tonic; anthelmintic,Medicinal Plants Reference Database ,database
SLH-0484,Tibuhira,sacred pepperbush,Insularia fragrans var. montana,Rubiaceae,,sinusitis; epilepsy support; oedema; general debility,roots; tubers; tender shoots,"sacred pepperbush (Insularia fragrans var. montana), known in Sinhala as Tibuhira, is a medicinal plant of the family Rubiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for sinusitis, epilepsy support, oedema, general debility. The roots are the most commonly used part, usually prepared as a herbal tea. Reported properties include astringent, antitussive activity.","Herbal tea: steep 2 tsp of dried roots in hot water, drink once daily. ",Avoid with anticoagulant medication; Avoid immediately before surgery; Prolonged high-dose use may cause loose stools,lignans; phenolic acids; anthraquinones; ellagic acid,Central highlands,Least Concern,none recorded,astringent; antitussive,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0485,Kasaliya,mountain bitterleaf,Taprobanea glabra var. insularis,Melastomataceae,,liver disorders; inflammation; ringworm,fruits; stem,"mountain bitterleaf (Taprobanea glabra var. insularis), known in Sinhala as Kasaliya, is a medicinal plant of the family Melastomataceae recorded in Sri Lankan traditional medicine. It is traditionally used for liver disorders, inflammation, ringworm. The fruits are the most commonly used part, usually prepared as a paste. Reported properties include antioxidant, laxative activity.",External use only: apply paste of fruits to the affected area 1-2 times daily. ,May cause allergic skin reaction in sensitive individuals; Use with caution in liver disease; May cause gastric irritation in high doses,iridoids; lignans; tannins; ursolic acid,Dry zone,Common (cultivated),none recorded,antioxidant; laxative; immunomodulatory,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0486,Pibuessa,lowland fever-herb,Ayurvedia hirsuta subsp. lankana,Lamiaceae,,urinary tract infections; intestinal worms; eczema; headache,bark; seeds; stem,"lowland fever-herb (Ayurvedia hirsuta subsp. lankana), known in Sinhala as Pibuessa, is a medicinal plant of the family Lamiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for urinary tract infections, intestinal worms, eczema, headache. The bark are the most commonly used part, usually prepared as a paste. Reported properties include wound-healing, astringent activity.",External use only: apply paste of bark to the affected area 1-2 times daily. ,Prolonged high-dose use may cause loose stools,iridoids; tannins; lignans; quercetin; kaempferol,Home gardens island-wide,Least Concern,leaves (as mallum),wound-healing; astringent; laxative; immunomodulatory,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0487,Rabukola,coastal pepperbush,Vireophyllum montana,Rutaceae,,oral health; haemorrhoids,fruits; seeds; bark,"coastal pepperbush (Vireophyllum montana), known in Sinhala as Rabukola, is a medicinal plant of the family Rutaceae recorded in Sri Lankan traditional medicine. It is traditionally used for oral health, haemorrhoids. The fruits are the most commonly used part, usually prepared as a capsule. Reported properties include carminative, galactagogue activity.",Standardised extract capsule: 250 mg once daily. ,Not recommended for children under 5 years,glycosides; saponins; vanillic acid; quercetin,Central highlands,Near Threatened,seeds (after processing),carminative; galactagogue,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0488,Sasakanda,highland bitterleaf,Serendiba zeylanica var. minor,Annonaceae,Sasakanda kola; highland bitterleaf,kidney health; stress; memory improvement,seeds,"highland bitterleaf (Serendiba zeylanica var. minor), known in Sinhala as Sasakanda, is a medicinal plant of the family Annonaceae recorded in Sri Lankan traditional medicine. It is traditionally used for kidney health, stress, memory improvement. The seeds are the most commonly used part, usually prepared as a fresh juice. Reported properties include antitussive, expectorant activity.",Fresh juice of seeds: 15-30 ml daily on an empty stomach. ,Use with caution in liver disease,iridoids; lignans; terpenoids; ellagic acid; chlorogenic acid,Sinharaja periphery,Near Threatened,fruits,antitussive; expectorant; nervine tonic; diuretic,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0489,Luguhira,dry-zone figwort,Serendiba aquatica subsp. lankana,Myrtaceae,Luguhira kola; dry-zone figwort,sinusitis; immunity support; inflammation,stem; gum; fruits,"dry-zone figwort (Serendiba aquatica subsp. lankana), known in Sinhala as Luguhira, is a medicinal plant of the family Myrtaceae recorded in Sri Lankan traditional medicine. It is traditionally used for sinusitis, immunity support, inflammation. The stem are the most commonly used part, usually prepared as a cold infusion. Reported properties include immunomodulatory, diuretic activity.",Cold infusion of stem soaked overnight: 100 ml in the morning. ,Use with caution while breastfeeding; May enhance the effect of antidiabetic medication; monitor blood sugar,sterols; essential oils; oleanolic acid; apigenin,Uva region,Least Concern,leaves (as mallum),immunomodulatory; diuretic,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
